,,,,,,,,
,"100K TODAY
,"Eventos en Mty, puentes quemados, @Gitcoin Shill Space
 - Ended: Nov 21 2023 - Speakers: 19 - Duration: 3h 30m
","Eventos en Mty, puentes quemados, @Gitcoin Shill Space",Nov 21 2023,19,3h 30m,360,REPLAY,https://x.com/i/spaces/1eaKbgodvlrGX
,"La abogada, el economista y el ingeniero
 - Ended: Jan 19 2023 - Speakers: 8 - Duration: 1h 53m
","La abogada, el economista y el ingeniero",Jan 19 2023,8,1h 53m,88,REPLAY,https://x.com/i/spaces/1eaKbrXLknaKX
,"Proyectos de la comunidad @mxweb3 y Tertulia Jam de @Happ3nxyz
 - Ended: Nov 28 2023 - Speakers: 9 - Duration: 2h 10m
",Proyectos de la comunidad @mxweb3 y Tertulia Jam de @Happ3nxyz,Nov 28 2023,9,2h 10m,175,REPLAY,https://x.com/i/spaces/1gqGvQmZBDgKB
,"Banda Web3 - Estado del mercado con @granmetanoia y @deLarg0
 - Ended: Dec 12 2023 - Speakers: 7 - Duration: 1h 43m
",Banda Web3 - Estado del mercado con @granmetanoia y @deLarg0,Dec 12 2023,7,1h 43m,169,REPLAY,https://x.com/i/spaces/1gqGvQzEDQeKB
,"Women of Web3 NYC Recap con @Anana @Neefter_
 - Ended: Sep 28 2023 - Speakers: 9 - Duration: 1h 50m
",Women of Web3 NYC Recap con @Anana @Neefter_,Sep 28 2023,9,1h 50m,90,REPLAY,https://x.com/i/spaces/1gqxvQkyovRJB
,"La Sacerdotisa, el Economista y el Inge - CriptoLatinFest/Cetes/$NET
 - Ended: Jun 13 2023 - Speakers: 8 - Duration: 2h 18m
","La Sacerdotisa, el Economista y el Inge - CriptoLatinFest/Cetes/$NET",Jun 13 2023,8,2h 18m,139,REPLAY,https://x.com/i/spaces/1gqxvyEEadeJB
,"Gitcoin Grants #18 @refimexico @antisat_eth @carnescrypto
 - Ended: Aug 24 2023 - Speakers: 5 - Duration: 1h 10m
",Gitcoin Grants #18 @refimexico @antisat_eth @carnescrypto,Aug 24 2023,5,1h 10m,63,REPLAY,https://x.com/i/spaces/1gqxvyjdAZaJB
,"La Contadora, el Economista y el Ingeniero - Regulación Cripto
 - Ended: Feb 21 2023 - Speakers: 3 - Duration: 1h 45m
","La Contadora, el Economista y el Ingeniero - Regulación Cripto",Feb 21 2023,3,1h 45m,72,REPLAY,https://x.com/i/spaces/1gqxvyqAmBlJB
,"La Abogada, el Economista y el Ingeniero - Código Civil, SEC, SWIFT
 - Ended: Jun 8 2023 - Speakers: 4 - Duration: 1h 34m
","La Abogada, el Economista y el Ingeniero - Código Civil, SEC, SWIFT",Jun 8 2023,4,1h 34m,82,REPLAY,https://x.com/i/spaces/1jMJgLQqAVqxL
,"To The Moon - @TheSuperama Live Mint
 - Ended: Nov 3 2023 - Speakers: 8 - Duration: 1h 42m
",To The Moon - @TheSuperama Live Mint,Nov 3 2023,8,1h 42m,129,REPLAY,https://x.com/i/spaces/1jMKgmVZAOeJL
,"Banda Web3 - Caso @0xgonzalo_ con @solencontraluz
 - Ended: Dec 26 2023 - Speakers: 12 - Duration: 2h 30m
",Banda Web3 - Caso @0xgonzalo_ con @solencontraluz,Dec 26 2023,12,2h 30m,260,REPLAY,https://x.com/i/spaces/1kvJpvweVXbKE
,"MegaSpace - MUJ3RES SE VAN A LA ONU
 - Ended: Sep 12 2023 - Speakers: 17 - Duration: 2h 28m
",MegaSpace - MUJ3RES SE VAN A LA ONU,Sep 12 2023,17,2h 28m,217,REPLAY,https://x.com/i/spaces/1lDGLnBkagkxm
,"Emprendimiento Web3 con Zona Tres @lazonatres
 - Ended: Nov 30 2023 - Speakers: 12 - Duration: 2h 19m
",Emprendimiento Web3 con Zona Tres @lazonatres,Nov 30 2023,12,2h 19m,187,REPLAY,https://x.com/i/spaces/1lDxLPDoLzyxm
,"NFTs de artistas latinos y créditos de carbón con @FivParis @AsesEco
 - Ended: Nov 7 2023 - Speakers: 11 - Duration: 1h 56m",NFTs de artistas latinos y créditos de carbón con @FivParis @AsesEco,Nov 7 2023,11,1h 56m,337,REPLAY,https://x.com/i/spaces/1lDxLPWXllwxm
,"Mujeres en Web3 - Charla en las Naciones Unidas - Gracias @sandym_c
 - Ended: Aug 8 2023 - Speakers: 15 - Duration: 2h 00m",Mujeres en Web3 - Charla en las Naciones Unidas - Gracias @sandym_c,Aug 8 2023,15,2h 00m,198,REPLAY,https://x.com/i/spaces/1lPKqBOPjqEGb
,"La abogada, el economista y el ingeniero - 2022 y Perspectivas 2023
 - Ended: Jan 3 2023 - Speakers: 9 - Duration: 1h 33m
","La abogada, el economista y el ingeniero - 2022 y Perspectivas 2023",Jan 3 2023,9,1h 33m,59,REPLAY,https://x.com/i/spaces/1lPKqBzvPXeGb
,"Acapulco necesita ayuda. Gitcoin Ronda 19 y #AcapulcoWeb3
 - Ended: Oct 31 2023 - Speakers: 13 - Duration: 2h 09m
",Acapulco necesita ayuda. Gitcoin Ronda 19 y #AcapulcoWeb3,Oct 31 2023,13,2h 09m,198,REPLAY,https://x.com/i/spaces/1lPKqbaAQWbGb
,"La Belga y el Ingeniero - Apoyo Wiki / Marcus Dantus NFT
 - Ended: May 2 2023 - Speakers: 11 - Duration: 1h 38m",La Belga y el Ingeniero - Apoyo Wiki / Marcus Dantus NFT,May 2 2023,11,1h 38m,116,REPLAY,https://x.com/i/spaces/1mnxeROErMoKX
,"El pescador, el economista y el ingeniero Ep06
 - Ended: Nov 29 2022 - Speakers: 10 - Duration: 1h 15m","El pescador, el economista y el ingeniero Ep06",Nov 29 2022,10,1h 15m,71,REPLAY,https://x.com/i/spaces/1mnxeRPLrXPKX
,"El Economista y el Ingeniero
 - Ended: Feb 14 2023 - Speakers: 7 - Duration: 1h 45m",El Economista y el Ingeniero,Feb 14 2023,7,1h 45m,52,REPLAY,https://x.com/i/spaces/1mnxeRWomNaKX
,"Lu, Jesús y Mexi - Threads, todo lo que necesitas saber
 - Ended: Jul 6 2023 - Speakers: 8 - Duration: 42m","Lu, Jesús y Mexi - Threads, todo lo que necesitas saber",Jul 6 2023,8,42m,112,REPLAY,https://x.com/i/spaces/1mnxeRdoypLKX
,"El economista, el pescador y el ingeniero - Rugs IRL y Rugs en Web3
 - Ended: Dec 13 2022 - Speakers: 15 - Duration: 2h 35m","El economista, el pescador y el ingeniero - Rugs IRL y Rugs en Web3",Dec 13 2022,15,2h 35m,94,REPLAY,https://x.com/i/spaces/1mnxeRwZepQKX
,"El economista, el ingeniero y el dropout - Tesla en NL, MX
 - Ended: Dec 20 2022 - Speakers: 21 - Duration: 2h 05m","El economista, el ingeniero y el dropout - Tesla en NL, MX",Dec 20 2022,21,2h 05m,137,REPLAY,https://x.com/i/spaces/1mnxeRwdNLaKX
,"PixHelp de @UNICEFColombia - Arte NFT que ayuda
 - Ended: Nov 9 2023 - Speakers: 8 - Duration: 1h 59m
",PixHelp de @UNICEFColombia - Arte NFT que ayuda,Nov 9 2023,8,1h 59m,180,REPLAY,https://x.com/i/spaces/1mnxepBMbBoJX
,"La artista, el pescador y el ingeniero - cómo entrevistar proyectos?
 - Ended: Jan 31 2023 - Speakers: 17 - Duration: 3h 02m
","La artista, el pescador y el ingeniero - cómo entrevistar proyectos?",Jan 31 2023,17,3h 02m,179,REPLAY,https://x.com/i/spaces/1mrGmkAbZYwxy
,"La Abogada, el Economista y el Ingeniero - #Tesla en Monterrey
 - Ended: Mar 2 2023 - Speakers: 25 - Duration: 2h 41m
","La Abogada, el Economista y el Ingeniero - #Tesla en Monterrey",Mar 2 2023,25,2h 41m,224,REPLAY,https://x.com/i/spaces/1mrGmkgVrnLxy
